,model,n_params,val_acc,val_loss,perplex,dists_mean,dists_std,sims_mean,sims_std,norms_mean,norms_std,norms_scl_mean,norms_scl_std,norms_log_mean,norms_log_std,norms_logscl_mean,norms_logscl_std,misses,matches,matches_mean,matches_std,cdnv_mean,cdnv_std,interfere_mean,interfere_std,log_dist_mean,log_dist_std
0,01x0064_01L@0,3397440,0.2653474864776747,3.890064477920532,48.914040297659625,0.2991446554660797,0.2915864884853363,0.1323722600936889,0.3060754239559173,62.58070373535156,29.525333404541016,7.822587966918945,3.690666675567627,4.007746696472168,0.533332109451294,1.9283051490783687,0.533332109451294,4553451,160740,5.498580455780029,205.5013732910156,0.2170268595218658,227.08493041992188,0.0048541724681854,0.3552234470844269,-0.1202841326594352,0.3188208341598511
1,01x0064_01d@0,3397440,0.2655125183460073,3.884904623031616,48.662300975406986,0.299487292766571,0.2931207120418548,0.1324342787265777,0.3042891323566437,62.44358444213867,29.47979736328125,7.805448055267334,3.684974670410156,4.005452156066895,0.5334532856941223,1.9260108470916748,0.5334532856941223,4552785,161406,5.521362781524658,205.66343688964844,0.2113296538591385,220.0946044921875,0.0048399814404547,0.3544318675994873,-0.1236789003014564,0.3173810839653015
2,01x0064_03d@2,3397440,0.2815142458775442,3.607738971710205,36.88256594230357,0.2856441736221313,0.272053599357605,0.1985128074884414,0.3061005175113678,119.32282257080078,58.26897430419922,14.915352821350098,7.283621788024902,4.646772384643555,0.5429084897041321,2.5673305988311768,0.5429084897041321,4540372,173819,5.945985794067383,195.27967834472656,0.0547154545783996,95.2602081298828,0.0042541050352156,0.3170799612998962,-0.1947033405303955,0.2706678509712219
3,01x0064_10L@5,3397440,0.3614163976767416,3.0872039794921875,21.91571544047125,0.2956264317035675,0.2658206522464752,0.2869680523872375,0.3016446828842163,308.9153137207031,164.0236053466797,38.61441421508789,20.50295066833496,5.582688331604004,0.5647761821746826,3.503246545791626,0.5647761821746826,4341932,372259,12.734204292297363,296.3602905273437,0.0071661472320556,5.289419174194336,0.003838907694444,0.2634292542934418,-0.19525046646595,0.2105442583560943
4,01x0064_10L@9,3397440,0.3757060786667461,2.9908041954040527,19.90168089809117,0.3021197021007538,0.2691705226898193,0.3054858148097992,0.2976706922054291,380.2566223144531,202.11306762695312,47.53207778930664,25.26413345336914,5.7913899421691895,0.5621315240859985,3.711947917938232,0.5621315240859985,4281179,433012,14.812438011169434,336.6699523925781,0.005317308474332,3.550770998001098,0.0036820671521127,0.2585079967975616,-0.1911496371030807,0.2062263488769531
5,01x0064_10d@5,3397440,0.3604618431683912,3.0921480655670166,22.02433691971012,0.2940591275691986,0.2656899690628052,0.2700589597225189,0.2876358330249786,248.3909149169922,133.7637481689453,31.048864364624023,16.720468521118164,5.360518455505371,0.572162389755249,3.2810769081115723,0.572162389755249,4371440,342751,11.724797248840332,267.0857849121094,0.0089641138911247,3.7839319705963135,0.004322207532823,0.266371488571167,-0.1826048344373703,0.2159073650836944
6,01x0064_10d@9,3397440,0.3739520317268464,3.0040102005004883,20.16624567438565,0.2990615963935852,0.2673838436603546,0.2836463153362274,0.2823243737220764,284.446044921875,154.47743225097656,35.555755615234375,19.30967903137207,5.494906425476074,0.5732073783874512,3.415464401245117,0.5732073783874512,4318253,395938,13.54421329498291,300.5295104980469,0.0071682319976389,2.951279401779175,0.0043554953299462,0.2617830038070678,-0.1730017811059951,0.2141868323087692
7,01x0128_01L@0,6893184,0.281938704448924,3.654963970184326,38.66612795660082,0.4125292897224426,0.3682408928871155,0.1682966947555542,0.2995884418487549,112.52947998046876,54.53588104248047,9.946294784545898,4.820336818695068,4.589208602905273,0.5418761968612671,2.163193464279175,0.5418761968612671,4514823,199368,6.8199639320373535,217.0771484375,0.0519955866038799,24.251110076904297,0.0043517462909221,0.3174715340137481,-0.1588255614042282,0.275178998708725
8,01x0128_01d@0,6893184,0.2823786480156615,3.65120530128479,38.52106757174287,0.4133669734001159,0.3706350028514862,0.1679565906524658,0.2978709638118744,112.0417709350586,54.37251663208008,9.90318775177002,4.805896759033203,4.584625244140625,0.5422236919403076,2.158609390258789,0.5422236919403076,4514897,199294,6.817432403564453,217.14505004882807,0.0507071241736412,23.345134735107425,0.0043525239452719,0.3169686496257782,-0.161759540438652,0.2739257514476776
9,01x0128_03d@2,6893184,0.3750442542076232,3.007628917694092,20.239353813397862,0.4229055941104889,0.344588965177536,0.2464343458414077,0.3054955005645752,198.1915435791016,110.2583999633789,17.517824172973633,9.74555778503418,5.129566192626953,0.5776340365409851,2.7035512924194336,0.5776340365409851,4212909,501282,17.147811889648438,372.1961669921875,0.0099374037235975,9.944296836853027,0.0030785191338509,0.2388196438550949,-0.2039442360401153,0.1849547624588012
